id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9017284,6820,APARTMENT,APARTMENT,224000,FOR_SALE,2,87,INSTALLED,False,False,True,8,,,,3,,
9017280,6820,APARTMENT,APARTMENT,239000,FOR_SALE,2,93,INSTALLED,False,False,True,8,,,,3,,
9017283,6820,APARTMENT,APARTMENT,269000,FOR_SALE,3,108,INSTALLED,False,False,True,8,,,,3,,
8957323,4400,APARTMENT,PENTHOUSE,270000,FOR_SALE,3,160,NOT_INSTALLED,,False,True,,,,,4,,
7854734,1070,APARTMENT,APARTMENT,275000,FOR_SALE,2,106,USA_HYPER_EQUIPPED,,False,True,,,,,,,AS_NEW
9017281,6820,APARTMENT,APARTMENT,279000,FOR_SALE,3,111,INSTALLED,False,False,True,8,,,,3,,
8826223,1340,APARTMENT,GROUND_FLOOR,285000,FOR_SALE,1,78,USA_HYPER_EQUIPPED,,False,True,24,True,139,,,,AS_NEW
8742697,1180,APARTMENT,APARTMENT,290000,FOR_SALE,1,78,USA_HYPER_EQUIPPED,,False,True,38,True,144,,,,AS_NEW
8408608,1180,APARTMENT,APARTMENT,290000,FOR_SALE,1,78,USA_HYPER_EQUIPPED,,False,True,38,True,144,,,,AS_NEW
7854735,1070,APARTMENT,APARTMENT,335000,FOR_SALE,3,133,USA_HYPER_EQUIPPED,,False,True,,,,,,,AS_NEW
8995522,7760,APARTMENT,APARTMENT,372500,FOR_SALE,2,133,INSTALLED,,False,,,,,,2,,
8944422,9810,APARTMENT,APARTMENT,338500,FOR_SALE,3,106,,,False,True,34,True,,,,False,AS_NEW
8987845,1000,APARTMENT,APARTMENT,434000,FOR_SALE,2,153,USA_HYPER_EQUIPPED,False,False,,,,,,2,False,AS_NEW
8430402,8300,APARTMENT,APARTMENT,478000,FOR_SALE,3,100,USA_HYPER_EQUIPPED,False,False,True,,,,,,False,
8263060,1933,APARTMENT,APARTMENT,655000,FOR_SALE,3,159,HYPER_EQUIPPED,,True,True,19,True,,,3,True,AS_NEW
8945419,7090,HOUSE,HOUSE,327000,FOR_SALE,4,266,INSTALLED,,False,True,,,,145,2,,
8594337,1785,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,,,,False,False,,,,,,,,
8877367,9300,APARTMENT,GROUND_FLOOR,114000,FOR_SALE,1,,SEMI_EQUIPPED,,False,,,,,,3,,
8877366,9300,APARTMENT,FLAT_STUDIO,114000,FOR_SALE,1,,SEMI_EQUIPPED,,False,,,,,,3,,
8877360,9300,APARTMENT,APARTMENT,114000,FOR_SALE,1,,SEMI_EQUIPPED,,False,,,,,,3,,
9024093,5670,HOUSE,HOUSE,175000,FOR_SALE,2,97,HYPER_EQUIPPED,False,False,True,1,,,324,2,,
8881960,4550,HOUSE,HOUSE,268000,FOR_SALE,3,178,NOT_INSTALLED,False,False,,,True,800,1250,4,False,AS_NEW
8871322,5100,HOUSE,HOUSE,335000,FOR_SALE,2,166,USA_HYPER_EQUIPPED,False,False,True,9,True,73,74,2,False,AS_NEW
8847968,6760,HOUSE,HOUSE,360000,FOR_SALE,3,196,INSTALLED,,False,,,,,331,3,,
9012241,9880,HOUSE,HOUSE,385000,FOR_SALE,4,167,HYPER_EQUIPPED,False,False,True,40,True,,324,,False,AS_NEW
9012242,9880,HOUSE,HOUSE,390000,FOR_SALE,3,149,HYPER_EQUIPPED,False,False,True,40,True,,444,,False,AS_NEW
8304337,8301,HOUSE,HOUSE,550000,FOR_SALE,4,266,HYPER_EQUIPPED,False,False,True,20,,,444,2,,AS_NEW
8766657,8300,HOUSE,HOUSE,695000,FOR_SALE,4,300,HYPER_EQUIPPED,,False,True,,,,190,2,False,AS_NEW
9033114,3000,HOUSE,MANSION,1095000,FOR_SALE,7,368,USA_HYPER_EQUIPPED,,True,True,15,True,665,890,2,,GOOD
9035365,1190,APARTMENT,DUPLEX,340000,FOR_SALE,2,125,INSTALLED,,False,,,,,,,,JUST_RENOVATED
9034922,5560,HOUSE,VILLA,234950,FOR_SALE,4,202,USA_SEMI_EQUIPPED,,True,,,True,,734,4,,GOOD
9034346,3052,HOUSE,VILLA,699000,FOR_SALE,4,270,INSTALLED,False,False,True,12,True,,1928,4,False,AS_NEW
9026500,1000,APARTMENT,APARTMENT,336000,FOR_SALE,2,95,HYPER_EQUIPPED,False,False,True,9,,,,,False,AS_NEW
9026501,1000,APARTMENT,APARTMENT,362000,FOR_SALE,2,106,HYPER_EQUIPPED,False,False,True,10,,,,,False,AS_NEW
